session_id,campaign,converted
1,A_flat10,0
2,A_flat10,1
3,A_flat10,0
4,A_flat10,0
5,A_flat10,0
6,A_flat10,0
7,A_flat10,0
8,A_flat10,0
9,A_flat10,0
10,A_flat10,0
11,A_flat10,0
12,A_flat10,0
13,A_flat10,0
14,A_flat10,0
15,A_flat10,0
16,A_flat10,0
17,A_flat10,0
18,A_flat10,0
19,A_flat10,0
20,A_flat10,0
21,A_flat10,0
22,A_flat10,0
23,A_flat10,0
24,A_flat10,0
25,A_flat10,0
26,A_flat10,1
27,A_flat10,0
28,A_flat10,0
29,A_flat10,0
30,A_flat10,0
31,A_flat10,0
32,A_flat10,0
33,A_flat10,0
34,A_flat10,0
35,A_flat10,0
36,A_flat10,0
37,A_flat10,0
38,A_flat10,0
39,A_flat10,0
40,A_flat10,0
41,A_flat10,1
42,A_flat10,0
43,A_flat10,0
44,A_flat10,0
45,A_flat10,0
46,A_flat10,0
47,A_flat10,1
48,A_flat10,1
49,A_flat10,0
50,A_flat10,0
51,A_flat10,0
52,A_flat10,0
53,A_flat10,1
54,A_flat10,0
55,A_flat10,0
56,A_flat10,0
57,A_flat10,0
58,A_flat10,0
59,A_flat10,0
60,A_flat10,0
61,A_flat10,0
62,A_flat10,0
63,A_flat10,0
64,A_flat10,0
65,A_flat10,0
66,A_flat10,1
67,A_flat10,0
68,A_flat10,0
69,A_flat10,0
70,A_flat10,0
71,A_flat10,0
72,A_flat10,0
73,A_flat10,0
74,A_flat10,0
75,A_flat10,1
76,A_flat10,0
77,A_flat10,0
78,A_flat10,0
79,A_flat10,0
80,A_flat10,0
81,A_flat10,1
82,A_flat10,0
83,A_flat10,1
84,A_flat10,0
85,A_flat10,0
86,A_flat10,0
87,A_flat10,0
88,A_flat10,0
89,A_flat10,0
90,A_flat10,0
91,A_flat10,0
92,A_flat10,0
93,A_flat10,0
94,A_flat10,0
95,A_flat10,0
96,A_flat10,0
97,A_flat10,0
98,A_flat10,0
99,A_flat10,0
100,A_flat10,1
101,A_flat10,0
102,A_flat10,0
103,A_flat10,0
104,A_flat10,0
105,A_flat10,0
106,A_flat10,0
107,A_flat10,0
108,A_flat10,0
109,A_flat10,0
110,A_flat10,0
111,A_flat10,0
112,A_flat10,0
113,A_flat10,0
114,A_flat10,0
115,A_flat10,0
116,A_flat10,0
117,A_flat10,0
118,A_flat10,0
119,A_flat10,0
120,A_flat10,0
121,A_flat10,0
122,A_flat10,0
123,A_flat10,0
124,A_flat10,0
125,A_flat10,0
126,A_flat10,0
127,A_flat10,0
128,A_flat10,0
129,A_flat10,0
130,A_flat10,0
131,A_flat10,0
132,A_flat10,0
133,A_flat10,0
134,A_flat10,0
135,A_flat10,0
136,A_flat10,0
137,A_flat10,1
138,A_flat10,0
139,A_flat10,1
140,A_flat10,0
141,A_flat10,0
142,A_flat10,1
143,A_flat10,0
144,A_flat10,0
145,A_flat10,0
146,A_flat10,0
147,A_flat10,0
148,A_flat10,0
149,A_flat10,1
150,A_flat10,0
151,A_flat10,1
152,A_flat10,0
153,A_flat10,0
154,A_flat10,0
155,A_flat10,0
156,A_flat10,0
157,A_flat10,0
158,A_flat10,0
159,A_flat10,0
160,A_flat10,0
161,A_flat10,0
162,A_flat10,0
163,A_flat10,0
164,A_flat10,0
165,A_flat10,0
166,A_flat10,0
167,A_flat10,0
168,A_flat10,0
169,A_flat10,0
170,A_flat10,0
171,A_flat10,0
172,A_flat10,0
173,A_flat10,0
174,A_flat10,0
175,A_flat10,0
176,A_flat10,0
177,A_flat10,0
178,A_flat10,0
179,A_flat10,0
180,A_flat10,0
181,A_flat10,0
182,A_flat10,0
183,A_flat10,0
184,A_flat10,0
185,A_flat10,1
186,A_flat10,0
187,A_flat10,0
188,A_flat10,0
189,A_flat10,0
190,A_flat10,0
191,A_flat10,0
192,A_flat10,0
193,A_flat10,0
194,A_flat10,0
195,A_flat10,0
196,A_flat10,0
197,A_flat10,1
198,A_flat10,1
199,A_flat10,0
200,A_flat10,0
201,A_flat10,0
202,A_flat10,0
203,A_flat10,0
204,A_flat10,0
205,A_flat10,0
206,A_flat10,0
207,A_flat10,0
208,A_flat10,0
209,A_flat10,0
210,A_flat10,0
211,A_flat10,0
212,A_flat10,0
213,A_flat10,0
214,A_flat10,0
215,A_flat10,0
216,A_flat10,0
217,A_flat10,0
218,A_flat10,0
219,A_flat10,0
220,A_flat10,0
221,A_flat10,0
222,A_flat10,1
223,A_flat10,0
224,A_flat10,0
225,A_flat10,0
226,A_flat10,0
227,A_flat10,0
228,A_flat10,0
229,A_flat10,0
230,A_flat10,0
231,A_flat10,0
232,A_flat10,0
233,A_flat10,0
234,A_flat10,0
235,A_flat10,0
236,A_flat10,0
237,A_flat10,0
238,A_flat10,0
239,A_flat10,0
240,A_flat10,0
241,A_flat10,0
242,A_flat10,0
243,A_flat10,1
244,A_flat10,0
245,A_flat10,0
246,A_flat10,0
247,A_flat10,0
248,A_flat10,1
249,A_flat10,0
250,A_flat10,0
251,A_flat10,0
252,A_flat10,0
253,A_flat10,0
254,A_flat10,0
255,A_flat10,0
256,A_flat10,0
257,A_flat10,0
258,A_flat10,0
259,A_flat10,0
260,A_flat10,0
261,A_flat10,0
262,A_flat10,0
263,A_flat10,0
264,A_flat10,0
265,A_flat10,0
266,A_flat10,1
267,A_flat10,0
268,A_flat10,0
269,A_flat10,0
270,A_flat10,0
271,A_flat10,0
272,A_flat10,1
273,A_flat10,1
274,A_flat10,0
275,A_flat10,1
276,A_flat10,0
277,A_flat10,0
278,A_flat10,0
279,A_flat10,0
280,A_flat10,0
281,A_flat10,0
282,A_flat10,0
283,A_flat10,1
284,A_flat10,0
285,A_flat10,0
286,A_flat10,0
287,A_flat10,0
288,A_flat10,1
289,A_flat10,0
290,A_flat10,0
291,A_flat10,0
292,A_flat10,0
293,A_flat10,0
294,A_flat10,0
295,A_flat10,0
296,A_flat10,0
297,A_flat10,0
298,A_flat10,0
299,A_flat10,0
300,A_flat10,0
301,A_flat10,0
302,A_flat10,0
303,A_flat10,0
304,A_flat10,0
305,A_flat10,0
306,A_flat10,0
307,A_flat10,0
308,A_flat10,0
309,A_flat10,0
310,A_flat10,0
311,A_flat10,0
312,A_flat10,0
313,A_flat10,0
314,A_flat10,0
315,A_flat10,0
316,A_flat10,1
317,A_flat10,0
318,A_flat10,0
319,A_flat10,0
320,A_flat10,0
321,A_flat10,0
322,A_flat10,1
323,A_flat10,0
324,A_flat10,0
325,A_flat10,0
326,A_flat10,0
327,A_flat10,1
328,A_flat10,0
329,A_flat10,0
330,A_flat10,0
331,A_flat10,0
332,A_flat10,0
333,A_flat10,0
334,A_flat10,0
335,A_flat10,0
336,A_flat10,0
337,A_flat10,0
338,A_flat10,0
339,A_flat10,0
340,A_flat10,0
341,A_flat10,0
342,A_flat10,0
343,A_flat10,0
344,A_flat10,0
345,A_flat10,0
346,A_flat10,0
347,A_flat10,0
348,A_flat10,0
349,A_flat10,1
350,A_flat10,0
351,A_flat10,0
352,A_flat10,0
353,A_flat10,0
354,A_flat10,0
355,A_flat10,1
356,A_flat10,0
357,A_flat10,0
358,A_flat10,0
359,A_flat10,0
360,A_flat10,0
361,A_flat10,0
362,A_flat10,0
363,A_flat10,1
364,A_flat10,0
365,A_flat10,0
366,A_flat10,1
367,A_flat10,0
368,A_flat10,0
369,A_flat10,0
370,A_flat10,0
371,A_flat10,0
372,A_flat10,0
373,A_flat10,0
374,A_flat10,0
375,A_flat10,0
376,A_flat10,0
377,A_flat10,0
378,A_flat10,1
379,A_flat10,0
380,A_flat10,0
381,A_flat10,0
382,A_flat10,0
383,A_flat10,0
384,A_flat10,0
385,A_flat10,0
386,A_flat10,1
387,A_flat10,0
388,A_flat10,0
389,A_flat10,0
390,A_flat10,0
391,A_flat10,0
392,A_flat10,0
393,A_flat10,0
394,A_flat10,0
395,A_flat10,0
396,A_flat10,0
397,A_flat10,0
398,A_flat10,0
399,A_flat10,0
400,A_flat10,0
401,A_flat10,0
402,A_flat10,0
403,A_flat10,0
404,A_flat10,0
405,A_flat10,0
406,A_flat10,0
407,A_flat10,0
408,A_flat10,0
409,A_flat10,0
410,A_flat10,0
411,A_flat10,0
412,A_flat10,0
413,A_flat10,0
414,A_flat10,0
415,A_flat10,0
416,A_flat10,1
417,A_flat10,0
418,A_flat10,0
419,A_flat10,0
420,A_flat10,0
421,A_flat10,0
422,A_flat10,0
423,A_flat10,0
424,A_flat10,0
425,A_flat10,0
426,A_flat10,0
427,A_flat10,0
428,A_flat10,0
429,A_flat10,0
430,A_flat10,0
431,A_flat10,0
432,A_flat10,0
433,A_flat10,0
434,A_flat10,0
435,A_flat10,0
436,A_flat10,0
437,A_flat10,1
438,A_flat10,0
439,A_flat10,0
440,A_flat10,0
441,A_flat10,0
442,A_flat10,0
443,A_flat10,0
444,A_flat10,0
445,A_flat10,0
446,A_flat10,0
447,A_flat10,0
448,A_flat10,0
449,A_flat10,0
450,A_flat10,0
451,A_flat10,0
452,A_flat10,1
453,A_flat10,0
454,A_flat10,0
455,A_flat10,0
456,A_flat10,0
457,A_flat10,0
458,A_flat10,0
459,A_flat10,0
460,A_flat10,0
461,A_flat10,0
462,A_flat10,0
463,A_flat10,0
464,A_flat10,0
465,A_flat10,0
466,A_flat10,0
467,A_flat10,0
468,A_flat10,0
469,A_flat10,0
470,A_flat10,0
471,A_flat10,0
472,A_flat10,0
473,A_flat10,0
474,A_flat10,0
475,A_flat10,0
476,A_flat10,0
477,A_flat10,0
478,A_flat10,0
479,A_flat10,0
480,A_flat10,0
481,A_flat10,0
482,A_flat10,0
483,A_flat10,0
484,A_flat10,0
485,A_flat10,0
486,A_flat10,0
487,A_flat10,0
488,A_flat10,0
489,A_flat10,0
490,A_flat10,0
491,A_flat10,0
492,A_flat10,0
493,A_flat10,0
494,A_flat10,0
495,A_flat10,0
496,A_flat10,0
497,A_flat10,0
498,A_flat10,0
499,A_flat10,0
500,A_flat10,0
501,A_flat10,0
502,A_flat10,1
503,A_flat10,0
504,A_flat10,0
505,A_flat10,0
506,A_flat10,0
507,A_flat10,0
508,A_flat10,0
509,A_flat10,0
510,A_flat10,0
511,A_flat10,0
512,A_flat10,0
513,A_flat10,0
514,A_flat10,0
515,A_flat10,0
516,A_flat10,0
517,A_flat10,0
518,A_flat10,0
519,A_flat10,0
520,A_flat10,0
521,A_flat10,0
522,A_flat10,0
523,A_flat10,0
524,A_flat10,0
525,A_flat10,0
526,A_flat10,0
527,A_flat10,0
528,A_flat10,0
529,A_flat10,0
530,A_flat10,0
531,A_flat10,0
532,A_flat10,0
533,A_flat10,0
534,A_flat10,0
535,A_flat10,0
536,A_flat10,0
537,A_flat10,0
538,A_flat10,0
539,A_flat10,0
540,A_flat10,0
541,A_flat10,0
542,A_flat10,0
543,A_flat10,0
544,A_flat10,0
545,A_flat10,0
546,A_flat10,0
547,A_flat10,0
548,A_flat10,0
549,A_flat10,0
550,A_flat10,0
551,A_flat10,0
552,A_flat10,0
553,A_flat10,0
554,A_flat10,0
555,A_flat10,0
556,A_flat10,0
557,A_flat10,0
558,A_flat10,0
559,A_flat10,0
560,A_flat10,0
561,A_flat10,0
562,A_flat10,0
563,A_flat10,0
564,A_flat10,0
565,A_flat10,0
566,A_flat10,0
567,A_flat10,0
568,A_flat10,0
569,A_flat10,0
570,A_flat10,0
571,A_flat10,0
572,A_flat10,0
573,A_flat10,0
574,A_flat10,0
575,A_flat10,0
576,A_flat10,0
577,A_flat10,1
578,A_flat10,1
579,A_flat10,0
580,A_flat10,0
581,A_flat10,0
582,A_flat10,0
583,A_flat10,0
584,A_flat10,0
